Country/Region,Update Date,Deaths,Recovered,Latitude,Longitude,Province/State
Singapore,1/25/2020,0,0,0,,
Vietnam,1/25/2020,0,0,0,,
France,1/25/2020,0,0,0,,
Australia,1/25/2020,0,0,0,,
Nepal,1/25/2020,0,0,0,,
Malaysia,1/25/2020,0,0,0,,
Mainland China,1/26/2020,0,0,0,,Hubei
Mainland China,1/26/2020,0,0,0,,Guangdong
Mainland China,1/26/2020,0,0,0,,Zhejiang
Mainland China,1/26/2020,0,0,0,,Henan
Mainland China,1/26/2020,0,0,0,,Chongqing
Mainland China,1/26/2020,0,0,0,,Hunan
Mainland China,1/26/2020,0,0,0,,Beijing
Mainland China,1/26/2020,0,0,0,,Anhui
Mainland China,1/26/2020,0,0,0,,Shandong
Mainland China,1/26/2020,0,0,0,,Sichuan
Mainland China,1/26/2020,0,0,0,,Shanghai
Mainland China,1/26/2020,0,0,0,,Guangxi
Mainland China,1/26/2020,0,0,0,,Jiangxi
Mainland China,1/26/2020,0,0,0,,Fujian
Mainland China,1/26/2020,0,0,0,,Jiangsu
Mainland China,1/26/2020,0,0,0,,Hainan
Mainland China,1/26/2020,0,0,0,,Shaanxi
Mainland China,1/26/2020,0,0,0,,Liaoning
Mainland China,1/26/2020,0,0,0,,Yunnan
Mainland China,1/26/2020,0,0,0,,Heilongjiang
Mainland China,1/26/2020,0,0,0,,Tianjin
Mainland China,1/26/2020,0,0,0,,Hebei
Mainland China,1/26/2020,0,0,0,,Shanxi
Hong Kong,1/26/2020,0,0,0,,Hong Kong
Mainland China,1/26/2020,0,0,0,,Inner Mongolia
Mainland China,1/26/2020,0,0,0,,Gansu
Mainland China,1/26/2020,0,0,0,,Guizhou
Macau,1/26/2020,0,0,0,,Macau
Mainland China,1/26/2020,0,0,0,,Ningxia
Mainland China,1/26/2020,0,0,0,,Jilin
Taiwan,1/26/2020,0,0,0,,Taiwan
Mainland China,1/26/2020,0,0,0,,Xinjiang
Mainland China,1/26/2020,0,0,0,,Qinghai
US,1/26/2020,0,0,0,,Washington
US,1/26/2020,0,0,0,,Illinois
US,1/26/2020,0,0,0,,California
US,1/26/2020,0,0,0,,Arizona
Japan,1/26/2020,0,0,0,,
Thailand,1/26/2020,0,0,0,,
South Korea,1/26/2020,0,0,0,,
Singapore,1/26/2020,0,0,0,,
Vietnam,1/26/2020,0,0,0,,
France,1/26/2020,0,0,0,,
Australia,1/26/2020,0,0,0,,
Nepal,1/26/2020,0,0,0,,
Malaysia,1/26/2020,0,0,0,,
Canada,1/26/2020,0,0,0,,Ontario
Mainland China,1/27/2020,0,0,0,,Hubei
Mainland China,1/27/2020,0,0,0,,Guangdong
Mainland China,1/27/2020,0,0,0,,Zhejiang
Mainland China,1/27/2020,0,0,0,,Henan
Mainland China,1/27/2020,0,0,0,,Chongqing
Mainland China,1/27/2020,0,0,0,,Hunan
Mainland China,1/27/2020,0,0,0,,Beijing
Mainland China,1/27/2020,0,0,0,,Shandong
Mainland China,1/27/2020,0,0,0,,Jiangxi
Mainland China,1/27/2020,0,0,0,,Anhui
Mainland China,1/27/2020,0,0,0,,Sichuan
Mainland China,1/27/2020,0,0,0,,Fujian
Mainland China,1/27/2020,0,0,0,,Shanghai
Mainland China,1/27/2020,0,0,0,,Jiangsu
Mainland China,1/27/2020,0,0,0,,Guangxi
Mainland China,1/27/2020,0,0,0,,Shaanxi
Mainland China,1/27/2020,0,0,0,,Hainan
Mainland China,1/27/2020,0,0,0,,Liaoning
Mainland China,1/27/2020,0,0,0,,Yunnan
Mainland China,1/27/2020,0,0,0,,Tianjin
Mainland China,1/27/2020,0,0,0,,Heilongjiang
Mainland China,1/27/2020,0,0,0,,Hebei
Mainland China,1/27/2020,0,0,0,,Gansu
Mainland China,1/27/2020,0,0,0,,Shanxi
Mainland China,1/27/2020,0,0,0,,Inner Mongolia
Hong Kong,1/27/2020,0,0,0,,Hong Kong
Mainland China,1/27/2020,0,0,0,,Guizhou
Mainland China,1/27/2020,0,0,0,,Ningxia
Mainland China,1/27/2020,0,0,0,,Jilin
Macau,1/27/2020,0,0,0,,Macau
Mainland China,1/27/2020,0,0,0,,Qinghai
Taiwan,1/27/2020,0,0,0,,Taiwan
Mainland China,1/27/2020,0,0,0,,Xinjiang
US,1/27/2020,0,0,0,,Washington
US,1/27/2020,0,0,0,,Illinois
US,1/27/2020,0,0,0,,California
US,1/27/2020,0,0,0,,Arizona
Japan,1/27/2020,0,0,0,,
Thailand,1/27/2020,0,0,0,,
South Korea,1/27/2020,0,0,0,,
Singapore,1/27/2020,0,0,0,,
Vietnam,1/27/2020,0,0,0,,
France,1/27/2020,0,0,0,,
Nepal,1/27/2020,0,0,0,,
Malaysia,1/27/2020,0,0,0,,
Canada,1/27/2020,0,0,0,,Ontario
Cambodia,1/27/2020,0,0,0,,
Sri Lanka,1/27/2020,0,0,0,,
Ivory Coast,1/27/2020,0,0,0,,
Australia,1/27/2020,0,0,0,,New South Wales
Australia,1/27/2020,0,0,0,,Victoria
Mainland China,1/28/2020,0,0,0,,Hubei
Mainland China,1/28/2020,0,0,0,,Guangdong
Mainland China,1/28/2020,0,0,0,,Zhejiang
Mainland China,1/28/2020,0,0,0,,Henan
Mainland China,1/28/2020,0,0,0,,Hunan
Mainland China,1/28/2020,0,0,0,,Chongqing
Mainland China,1/28/2020,0,0,0,,Jiangxi
Mainland China,1/28/2020,0,0,0,,Anhui
Mainland China,1/28/2020,0,0,0,,Shandong
Mainland China,1/28/2020,0,0,0,,Beijing
Mainland China,1/28/2020,0,0,0,,Sichuan
Mainland China,1/28/2020,0,0,0,,Fujian
Mainland China,1/28/2020,0,0,0,,Jiangsu
Mainland China,1/28/2020,0,0,0,,Shanghai
Mainland China,1/28/2020,0,0,0,,Guangxi
Mainland China,1/28/2020,0,0,0,,Shaanxi
Mainland China,1/28/2020,0,0,0,,Yunnan
Mainland China,1/28/2020,0,0,0,,Hainan
Mainland China,1/28/2020,0,0,0,,Liaoning
Mainland China,1/28/2020,0,0,0,,Hebei
Mainland China,1/28/2020,0,0,0,,Heilongjiang
Mainland China,1/28/2020,0,0,0,,Shanxi
Mainland China,1/28/2020,0,0,0,,Tianjin
Mainland China,1/28/2020,0,0,0,,Gansu
Mainland China,1/28/2020,0,0,0,,Inner Mongolia
Mainland China,1/28/2020,0,0,0,,Ningxia
Mainland China,1/28/2020,0,0,0,,Xinjiang
Mainland China,1/28/2020,0,0,0,,Guizhou
Mainland China,1/28/2020,0,0,0,,Jilin
Taiwan,1/28/2020,0,0,0,,Taiwan
Hong Kong,1/28/2020,0,0,0,,Hong Kong
Macau,1/28/2020,0,0,0,,Macau
Mainland China,1/28/2020,0,0,0,,Qinghai
US,1/28/2020,0,0,0,,Washington
US,1/28/2020,0,0,0,,Illinois
US,1/28/2020,0,0,0,,California
US,1/28/2020,0,0,0,,Arizona
Japan,1/28/2020,0,0,0,,
Thailand,1/28/2020,0,0,0,,
South Korea,1/28/2020,0,0,0,,
Singapore,1/28/2020,0,0,0,,
Vietnam,1/28/2020,0,0,0,,
France,1/28/2020,0,0,0,,
Nepal,1/28/2020,0,0,0,,
Malaysia,1/28/2020,0,0,0,,
Canada,1/28/2020,0,0,0,,Ontario
Canada,1/28/2020,0,0,0,,British Columbia
Cambodia,1/28/2020,0,0,0,,
Sri Lanka,1/28/2020,0,0,0,,
Australia,1/28/2020,0,0,0,,New South Wales
Australia,1/28/2020,0,0,0,,Victoria
Germany,1/28/2020,0,0,0,,Bavaria
Mainland China,1/29/2020,0,0,0,,Hubei
Mainland China,1/29/2020,0,0,0,,Zhejiang
Mainland China,1/29/2020,0,0,0,,Guangdong
Mainland China,1/29/2020,0,0,0,,Hunan
Mainland China,1/29/2020,0,0,0,,Henan
Mainland China,1/29/2020,0,0,0,,Anhui
Mainland China,1/29/2020,0,0,0,,Chongqing
Mainland China,1/29/2020,0,0,0,,Shandong
Mainland China,1/29/2020,0,0,0,,Beijing
Mainland China,1/29/2020,0,0,0,,Jiangxi
Mainland China,1/29/2020,0,0,0,,Sichuan
Mainland China,1/29/2020,0,0,0,,Jiangsu
Mainland China,1/29/2020,0,0,0,,Shanghai
Mainland China,1/29/2020,0,0,0,,Fujian
Mainland China,1/29/2020,0,0,0,,Guangxi
Mainland China,1/29/2020,0,0,0,,Shaanxi
Mainland China,1/29/2020,0,0,0,,Yunnan
Mainland China,1/29/2020,0,0,0,,Hebei
Mainland China,1/29/2020,0,0,0,,Hainan
Mainland China,1/29/2020,0,0,0,,Liaoning
Mainland China,1/29/2020,0,0,0,,Heilongjiang
Mainland China,1/29/2020,0,0,0,,Tianjin
Mainland China,1/29/2020,0,0,0,,Shanxi
Mainland China,1/29/2020,0,0,0,,Gansu
Mainland China,1/29/2020,0,0,0,,Inner Mongolia
Mainland China,1/29/2020,0,0,0,,Xinjiang
Mainland China,1/29/2020,0,0,0,,Ningxia
Hong Kong,1/29/2020,0,0,0,,Hong Kong
Mainland China,1/29/2020,0,0,0,,Guizhou
Mainland China,1/29/2020,0,0,0,,Jilin
Taiwan,1/29/2020,0,0,0,,Taiwan
Macau,1/29/2020,0,0,0,,Macau
Mainland China,1/29/2020,0,0,0,,Qinghai
US,1/29/2020,0,0,0,,Washington
US,1/29/2020,0,0,0,,Illinois
US,1/29/2020,0,0,0,,California
US,1/29/2020,0,0,0,,Arizona
Japan,1/29/2020,0,0,0,,
Thailand,1/29/2020,0,0,0,,
South Korea,1/29/2020,0,0,0,,
Singapore,1/29/2020,0,0,0,,
Vietnam,1/29/2020,0,0,0,,
France,1/29/2020,0,0,0,,
Nepal,1/29/2020,0,0,0,,
Malaysia,1/29/2020,0,0,0,,
Canada,1/29/2020,0,0,0,,Ontario
Canada,1/29/2020,0,0,0,,British Columbia
Cambodia,1/29/2020,0,0,0,,
Sri Lanka,1/29/2020,0,0,0,,
Australia,1/29/2020,0,0,0,,New South Wales
Australia,1/29/2020,0,0,0,,Victoria
Germany,1/29/2020,0,0,0,,Bavaria
Finland,1/29/2020,0,0,0,,
United Arab Emirates,1/29/2020,0,0,0,,
Mainland China,1/30/2020,0,0,0,,Hubei
Mainland China,1/30/2020,0,0,0,,Zhejiang
Mainland China,1/30/2020,0,0,0,,Guangdong
Mainland China,1/30/2020,0,0,0,,Henan
Mainland China,1/30/2020,0,0,0,,Hunan
Mainland China,1/30/2020,0,0,0,,Anhui
Mainland China,1/30/2020,0,0,0,,Chongqing
Mainland China,1/30/2020,0,0,0,,Jiangxi
Mainland China,1/30/2020,0,0,0,,Shandong
Mainland China,1/30/2020,0,0,0,,Sichuan
Mainland China,1/30/2020,0,0,0,,Jiangsu
Mainland China,1/30/2020,0,0,0,,Beijing
Mainland China,1/30/2020,0,0,0,,Shanghai
Mainland China,1/30/2020,0,0,0,,Fujian
Mainland China,1/30/2020,0,0,0,,Guangxi
Mainland China,1/30/2020,0,0,0,,Yunnan
Mainland China,1/30/2020,0,0,0,,Hebei
Mainland China,1/30/2020,0,0,0,,Shaanxi
Mainland China,1/30/2020,0,0,0,,Hainan
Mainland China,1/30/2020,0,0,0,,Heilongjiang
Mainland China,1/30/2020,0,0,0,,Liaoning
Mainland China,1/30/2020,0,0,0,,Shanxi
Mainland China,1/30/2020,0,0,0,,Tianjin
Mainland China,1/30/2020,0,0,0,,Gansu
Mainland China,1/30/2020,0,0,0,,Inner Mongolia
Mainland China,1/30/2020,0,0,0,,Ningxia
Mainland China,1/30/2020,0,0,0,,Jilin
Mainland China,1/30/2020,0,0,0,,Xinjiang
Mainland China,1/30/2020,0,0,0,,Guizhou
Hong Kong,1/30/2020,0,0,0,,Hong Kong
Taiwan,1/30/2020,0,0,0,,Taiwan
Mainland China,1/30/2020,0,0,0,,Qinghai
Macau,1/30/2020,0,0,0,,Macau
Mainland China,1/30/2020,0,0,0,,Tibet
US,1/30/2020,0,0,0,,Washington
US,1/30/2020,0,0,0,,Illinois
US,1/30/2020,0,0,0,,California
US,1/30/2020,0,0,0,,Arizona
Japan,1/30/2020,0,0,0,,
Thailand,1/30/2020,0,0,0,,
South Korea,1/30/2020,0,0,0,,
Singapore,1/30/2020,0,0,0,,
Vietnam,1/30/2020,0,0,0,,
France,1/30/2020,0,0,0,,
Nepal,1/30/2020,0,0,0,,
Malaysia,1/30/2020,0,0,0,,
Canada,1/30/2020,0,0,0,,Ontario
Canada,1/30/2020,0,0,0,,British Columbia
Cambodia,1/30/2020,0,0,0,,
Sri Lanka,1/30/2020,0,0,0,,
Australia,1/30/2020,0,0,0,,New South Wales
Australia,1/30/2020,0,0,0,,Victoria
Australia,1/30/2020,0,0,0,,Queensland
Germany,1/30/2020,0,0,0,,Bavaria
Finland,1/30/2020,0,0,0,,
United Arab Emirates,1/30/2020,0,0,0,,
Philippines,1/30/2020,0,0,0,,
India,1/30/2020,0,0,0,,
Mainland China,1/31/2020,0,0,0,,Hubei
Mainland China,1/31/2020,0,0,0,,Zhejiang
Mainland China,1/31/2020,0,0,0,,Guangdong
Mainland China,1/31/2020,0,0,0,,Henan
Mainland China,1/31/2020,0,0,0,,Hunan
Mainland China,1/31/2020,0,0,0,,Jiangxi
Mainland China,1/31/2020,0,0,0,,Anhui
Mainland China,1/31/2020,0,0,0,,Chongqing
Mainland China,1/31/2020,0,0,0,,Shandong
Mainland China,1/31/2020,0,0,0,,Sichuan
Mainland China,1/31/2020,0,0,0,,Jiangsu
Mainland China,1/31/2020,0,0,0,,Beijing
Mainland China,1/31/2020,0,0,0,,Shanghai
Mainland China,1/31/2020,0,0,0,,Fujian
Mainland China,1/31/2020,0,0,0,,Guangxi
Mainland China,1/31/2020,0,0,0,,Shaanxi
Mainland China,1/31/2020,0,0,0,,Yunnan
Mainland China,1/31/2020,0,0,0,,Hebei
Mainland China,1/31/2020,0,0,0,,Heilongjiang
Mainland China,1/31/2020,0,0,0,,Hainan
Mainland China,1/31/2020,0,0,0,,Liaoning
Mainland China,1/31/2020,0,0,0,,Shanxi
Mainland China,1/31/2020,0,0,0,,Tianjin
Mainland China,1/31/2020,0,0,0,,Guizhou
Mainland China,1/31/2020,0,0,0,,Gansu
Mainland China,1/31/2020,0,0,0,,Ningxia
Mainland China,1/31/2020,0,0,0,,Inner Mongolia
Mainland China,1/31/2020,0,0,0,,Xinjiang
Mainland China,1/31/2020,0,0,0,,Jilin
Hong Kong,1/31/2020,0,0,0,,Hong Kong
Taiwan,1/31/2020,0,0,0,,Taiwan
Mainland China,1/31/2020,0,0,0,,Qinghai
Macau,1/31/2020,0,0,0,,Macau
Mainland China,1/31/2020,0,0,0,,Tibet
Thailand,1/31/2020,0,0,0,,
Japan,1/31/2020,0,0,0,,
Singapore,1/31/2020,0,0,0,,
South Korea,1/31/2020,0,0,0,,
Malaysia,1/31/2020,0,0,0,,
France,1/31/2020,0,0,0,,
Germany,1/31/2020,0,0,0,,Bavaria
Australia,1/31/2020,0,0,0,,New South Wales
United Arab Emirates,1/31/2020,0,0,0,,
Australia,1/31/2020,0,0,0,,Victoria
US,1/31/2020,0,0,0,,Illinois
US,1/31/2020,0,0,0,,California
Vietnam,1/31/2020,0,0,0,,
Canada,1/31/2020,0,0,0,,Ontario
Australia,1/31/2020,0,0,0,,Queensland
Italy,1/31/2020,0,0,0,,
UK,1/31/2020,0,0,0,,
Russia,1/31/2020,0,0,0,,
US,1/31/2020,0,0,0,,Washington
US,1/31/2020,0,0,0,,Arizona
Nepal,1/31/2020,0,0,0,,
Canada,1/31/2020,0,0,0,,British Columbia
Cambodia,1/31/2020,0,0,0,,
Sri Lanka,1/31/2020,0,0,0,,
Finland,1/31/2020,0,0,0,,
Philippines,1/31/2020,0,0,0,,
India,1/31/2020,0,0,0,,
Sweden,1/31/2020,0,0,0,,
Mainland China,2/1/2020,0,0,0,,Hubei
Mainland China,2/1/2020,0,0,0,,Zhejiang
Mainland China,2/1/2020,0,0,0,,Guangdong
Mainland China,2/1/2020,0,0,0,,Henan
Mainland China,2/1/2020,0,0,0,,Hunan
Mainland China,2/1/2020,0,0,0,,Anhui
Mainland China,2/1/2020,0,0,0,,Jiangxi
Mainland China,2/1/2020,0,0,0,,Chongqing
Mainland China,2/1/2020,0,0,0,,Sichuan
Mainland China,2/1/2020,0,0,0,,Shandong
Mainland China,2/1/2020,0,0,0,,Jiangsu
Mainland China,2/1/2020,0,0,0,,Shanghai
Mainland China,2/1/2020,0,0,0,,Beijing
Mainland China,2/1/2020,0,0,0,,Fujian
Mainland China,2/1/2020,0,0,0,,Shaanxi
Mainland China,2/1/2020,0,0,0,,Guangxi
Mainland China,2/1/2020,0,0,0,,Hebei
Mainland China,2/1/2020,0,0,0,,Yunnan
Mainland China,2/1/2020,0,0,0,,Heilongjiang
Mainland China,2/1/2020,0,0,0,,Liaoning
Mainland China,2/1/2020,0,0,0,,Hainan
Mainland China,2/1/2020,0,0,0,,Shanxi
Mainland China,2/1/2020,0,0,0,,Tianjin
Mainland China,2/1/2020,0,0,0,,Gansu
Mainland China,1/31/2020,0,0,0,,Guizhou
Mainland China,2/1/2020,0,0,0,,Ningxia
Mainland China,2/1/2020,0,0,0,,Inner Mongolia
Japan,2/1/2020,0,0,0,,
Thailand,1/31/2020,0,0,0,,
Mainland China,2/1/2020,0,0,0,,Xinjiang
Mainland China,2/1/2020,0,0,0,,Jilin
Singapore,2/1/2020,0,0,0,,
Hong Kong,2/1/2020,0,0,0,,Hong Kong
South Korea,2/1/2020,0,0,0,,
Taiwan,1/31/2020,0,0,0,,Taiwan
Mainland China,2/1/2020,0,0,0,,Qinghai
Malaysia,1/31/2020,0,0,0,,
Germany,2/1/2020,0,0,0,,
Macau,1/31/2020,0,0,0,,Macau
France,2/1/2020,0,0,0,,
Vietnam,2/1/2020,0,0,0,,
Australia,2/1/2020,0,0,0,,New South Wales
Australia,2/1/2020,0,0,0,,Victoria
United Arab Emirates,1/31/2020,0,0,0,,
Australia,2/1/2020,0,0,0,,Queensland
Canada,2/1/2020,0,0,0,,Ontario
Italy,1/31/2020,0,0,0,,
Russia,1/31/2020,0,0,0,,
UK,2/1/2020,0,0,0,,
US,2/1/2020,0,0,0,,"Chicago, IL"
Australia,2/1/2020,0,0,0,,South Australia
Cambodia,1/31/2020,0,0,0,,
Canada,2/1/2020,0,0,0,,British Columbia
Finland,1/31/2020,0,0,0,,
India,1/31/2020,0,0,0,,
Mainland China,2/1/2020,0,0,0,,Tibet
Nepal,1/31/2020,0,0,0,,
Philippines,2/1/2020,0,0,0,,
Spain,2/1/2020,0,0,0,,
Sri Lanka,1/31/2020,0,0,0,,
Sweden,2/1/2020,0,0,0,,
US,2/1/2020,0,0,0,,"Boston, MA"
US,2/1/2020,0,0,0,,"Los Angeles, CA"
US,2/1/2020,0,0,0,,"Orange, CA"
US,2/1/2020,0,0,0,,"Santa Clara, CA"
US,2/1/2020,0,0,0,,"Seattle, WA"
US,2/1/2020,0,0,0,,"Tempe, AZ"
Mainland China,2/2/2020,0,0,0,,Hubei
Mainland China,2/2/2020,0,0,0,,Zhejiang
Mainland China,2/2/2020,0,0,0,,Guangdong
Mainland China,2/2/2020,0,0,0,,Henan
Mainland China,2/2/2020,0,0,0,,Hunan
Mainland China,2/2/2020,0,0,0,,Anhui
Mainland China,2/2/2020,0,0,0,,Jiangxi
Mainland China,2/2/2020,0,0,0,,Chongqing
Mainland China,2/2/2020,0,0,0,,Jiangsu
Mainland China,2/2/2020,0,0,0,,Sichuan
Mainland China,2/2/2020,0,0,0,,Shandong
Mainland China,2/2/2020,0,0,0,,Beijing
Mainland China,2/2/2020,0,0,0,,Shanghai
Mainland China,2/2/2020,0,0,0,,Fujian
Mainland China,2/2/2020,0,0,0,,Shaanxi
Mainland China,2/2/2020,0,0,0,,Guangxi
